File Name,Variable Name,Variable Label,Variable Definition,Data Values,Requirement Status in the Use of Force Report,Additional Notes,Data Type,Data Format,Measurement Level,Recoded Variable Flag,Recoded Variable Notes
UoF_Individual_Records,DistanceBetweenOfficerAndIndividual,Distance Between Officer and Individual,Distance between the reporting officer and the individual when the decision was made to use force,"Less than 3 metres (approx. 10ft)
3 to 7 Metres (approx. 10 to 23 ft)
Greater than 7 metres (approx. 23 ft)",Mandatory - Conditional,Mandatory IF the report is for 1 Individual or more.,Text,,Ordinal,,
UoF_Individual_Records,ReasonUseOfForce_EffectArrest,Reason for Use of Force - Effect Arrest,Specifies 'effect arrest' as the reason the reporting officer decided to use force,"1 
Blank",Mandatory - Conditional,"At least one of 9 multi-select options is mandatory IF the report is for 1 Individual or more.
Blank = Not selected.
",Integer,,Boolean,,
UoF_Individual_Records,ReasonUseOfForce_PreventOffence,Reason for Use of Force - Prevent Offence,Specifies 'prevent offence' as the reason the reporting officer decided to use force,"1 
Blank",Mandatory - Conditional,"At least one of 9 multi-select options is mandatory IF the report is for 1 Individual or more.
Blank = Not selected.
",Integer,,Boolean,,
UoF_Individual_Records,ReasonUseOfForce_PreventEscape,Reason for Use of Force - Prevent Escape,Specifies 'prevent escape' as the reason the reporting officer decided to use force,"1 
Blank",Mandatory - Conditional,"At least one of 9 multi-select options is mandatory IF the report is for 1 Individual or more.
Blank = Not selected.
",Integer,,Boolean,,
UoF_Individual_Records,ReasonUseOfForce_ProtectOtherOfficers,Reason for Use of Force - Protect Other Officers,Specifies 'protect other officer(s)' as the reason the reporting officer decided to use force,"1 
Blank",Mandatory - Conditional,"At least one of 9 multi-select options is mandatory IF the report is for 1 Individual or more.
Blank = Not selected.
",Integer,,Boolean,,
UoF_Individual_Records,ReasonUseOfForce_ProtectPublic,Reason for Use of Force - Protect Public,Specifies 'protect public (including victims)' as the reason the reporting officer decided to use force,"1 
Blank",Mandatory - Conditional,"At least one of 9 multi-select options is mandatory IF the report is for 1 Individual or more.
Blank = Not selected.
",Integer,,Boolean,,
UoF_Individual_Records,ReasonUseOfForce_ProtectSelf,Reason for Use of Force - Protect Self,Specifies 'protect self' as the reason the reporting officer decided to use force,"1 
Blank",Mandatory - Conditional,"At least one of 9 multi-select options is mandatory IF the report is for 1 Individual or more.
Blank = Not selected.
",Integer,,Boolean,,
UoF_Individual_Records,ReasonUseOfForce_ProtectIndividual,Reason for Use of Force - Protect Individual(s),Specifies 'protect individual(s)' as the reason the reporting officer decided to use force,"1 
Blank",Mandatory - Conditional,"At least one of 9 multi-select options is mandatory IF the report is for 1 Individual or more.
Blank = Not selected.
",Integer,,Boolean,,
UoF_Individual_Records,ReasonUseOfForce_Unintentional,Reason for Use of Force - Unintentional,Specifies 'unintentional' as the reason the reporting officer decided to use force,"1 
Blank",Mandatory - Conditional,"At least one of 9 multi-select options is mandatory IF the report is for 1 Individual or more.
Blank = Not selected.
",Integer,,Boolean,,
UoF_Individual_Records,ReasonUseOfForce_Other,Reason for Use of Force - Other,Specifies 'other' reason the reporting officer decided to use force,"1 
Blank",Mandatory - Conditional,"At least one of 9 multi-select options is mandatory IF the report is for 1 Individual or more.
Blank = Not selected.
",Integer,,Boolean,,
UoF_Individual_Records,FactorsInfluenceResponse_NatureIncident,Factors Influencing Officer Response - Incident Nature of Call,Information/factors that influenced the reporting officer's response during the force incident,"1 
Blank",Mandatory - Conditional,"At least one of 9 multi-select options is mandatory IF the report is for 1 Individual or more.
Blank = Not selected.
",Integer,,Boolean,,
UoF_Individual_Records,FactorsInfluenceResponse_PastHistory,Factors Influencing Officer Response - Past History,individual's past history as factor that influenced reporting officer's response during the force incident,"1 
Blank",Mandatory - Conditional,"At least one of 9 multi-select options is mandatory IF the report is for 1 Individual or more.
Blank = Not selected.
",Integer,,Boolean,,
UoF_Individual_Records,FactorsInfluenceResponse_PhysicalSizeStrength,Factors Influencing Officer Response - Physical Size- Strength,"individual's physical size, strength, abilities as factors that influenced reporting officer's response during the force incident","1 
Blank",Mandatory - Conditional,"At least one of 9 multi-select options is mandatory IF the report is for 1 Individual or more.
Blank = Not selected.
",Integer,,Boolean,,
UoF_Individual_Records,FactorsInfluenceResponse_OtherFactors,Factors Influencing Officer Response - Other,"Other factors (e.g. CPIC, dispatch) that influenced reporting officer's response during the force incident","1 
Blank",Mandatory - Conditional,"At least one of 9 multi-select options is mandatory IF the report is for 1 Individual or more.
Blank = Not selected.
",Integer,,Boolean,,
UoF_Individual_Records,IndividualActions_ResistantPassive,Individual Actions - Resistant Passive,Passive resistance as factor that influenced reporting officer's response during the force incident,"1 
Blank",Mandatory - Conditional,"At least one of 9 multi-select options is mandatory IF the report is for 1 Individual or more.
Blank = Not selected.
",Integer,,Boolean,,
UoF_Individual_Records,IndividualActions_ResistantActive,Individual Actions - Resistant Active,Active resistance as factor that influenced reporting officer's response during the force incident,"1 
Blank",Mandatory - Conditional,"At least one of 9 multi-select options is mandatory IF the report is for 1 Individual or more.
Blank = Not selected.
",Integer,,Boolean,,
UoF_Individual_Records,IndividualActions_Assaultive,Individual Actions - Assaultive,Assaultive actions as factors that influenced reporting officer's response during the force incident,"1 
Blank",Mandatory - Conditional,"At least one of 9 multi-select options is mandatory IF the report is for 1 Individual or more.
Blank = Not selected.
",Integer,,Boolean,,
UoF_Individual_Records,IndividualActions_SeriousBodilyHarmDeath,Individual Actions - Serious Bodily Harm,Actions threatening/causing serious bodily harm or death as factors that influenced reporting officer's response during the force incident,"1 
Blank",Mandatory - Conditional,"At least one of 9 multi-select options is mandatory IF the report is for 1 Individual or more.
Blank = Not selected.
",Integer,,Boolean,,
UoF_Individual_Records,PerceiveAccessWeapon,Perceived Access to Weapon,Identify if the reporting officer perceived that individual(s) has access to weapon(s),"1 
Blank",Mandatory - Conditional,"At least one of 9 multi-select options is mandatory IF the report is for 1 Individual or more.
Blank = Not selected.
",Integer,,Boolean,,
UoF_Individual_Records,OfficerResponses_DirectionsToComply,Officer Response - Direction to Comply,Specifies whether the reporting officer issued directions for the individual to comply,"Yes
No",Mandatory - Conditional,Mandatory IF the report is for 1 Individual or more.,Text,,Boolean,,
UoF_Individual_Records,OfficerResponses_Comply,Officer Response - Individual Complied,Specifies whether the individual complied,"Yes
No",Mandatory - Conditional,"Mandatory IF the report is for 1 Individual or more AND officer issued directions to the Individual comply
",Text,,Boolean,,
UoF_Individual_Records,OfficerResponses_AttemptDeescalation,Officer Response - Attempt/Use De-escalation,Specifies whether the reporting officer attempted/used de-escalation technique(s),"Yes
No",Mandatory - Conditional,"Mandatory IF the report is for 1 Individual or more AND the officer attempted de-escalation techniques.
",Text,,Boolean,,
UoF_Individual_Records,OfficerResponses_DeescalationTechniques_Communication,Officer Response - Use De-escalation Techniques - Communication,Specifies communication as a de-escalation technique(s) the reporting officer attempted/used,"1 
Blank",Mandatory - Conditional,"At least one of 8 multi-select options is mandatory IF the report is for 1 Individual or more AND the officer attempted de-escalation techniques.
Blank = Not selected.
",Integer,,Boolean,,
UoF_Individual_Records,OfficerResponses_DeescalationTechniques_Containment,Officer Response - Use De-escalation Techniques - Containment,Specifies containment as a de-escalation technique(s) the reporting officer attempted/used,"1 
Blank",Mandatory - Conditional,"At least one of 8 multi-select options is mandatory IF the report is for 1 Individual or more AND the officer attempted de-escalation techniques.
Blank = Not selected.
",Integer,,Boolean,,
UoF_Individual_Records,OfficerResponses_DeescalationTechniques_Cover,Officer Response - Use De-escalation Techniques - Cover,Specifies cover as a de-escalation technique(s) the reporting officer attempted/used,"1 
Blank",Mandatory - Conditional,"At least one of 8 multi-select options is mandatory IF the report is for 1 Individual or more AND the officer attempted de-escalation techniques.
Blank = Not selected.
",Integer,,Boolean,,
UoF_Individual_Records,OfficerResponses_DeescalationTechniques_Distance,Officer Response - Use De-escalation Techniques - Distance,Specifies distance as a de-escalation technique(s) the reporting officer attempted/used,"1 
Blank",Mandatory - Conditional,"At least one of 8 multi-select options is mandatory IF the report is for 1 Individual or more AND the officer attempted de-escalation techniques.
Blank = Not selected.
",Integer,,Boolean,,
UoF_Individual_Records,OfficerResponses_DeescalationTechniques_Repositioning,Officer Response - Use De-escalation Techniques - Repositioning,Specifies repositioning as a de-escalation technique(s) the reporting officer attempted/used,"1 
Blank",Mandatory - Conditional,"At least one of 8 multi-select options is mandatory IF the report is for 1 Individual or more AND the officer attempted de-escalation techniques
Blank = Not selected
",Integer,,Boolean,,
UoF_Individual_Records,OfficerResponses_DeescalationTechniques_Teamwork,Officer Response - Use De-escalation Techniques - Teamwork,Specifies teamwork as a de-escalation technique(s) the reporting officer attempted/used,"1 
Blank",Mandatory - Conditional,"At least one of 8 multi-select options is mandatory IF the report is for 1 Individual or more AND the officer attempted de-escalation techniques
Blank = Not selected
",Integer,,Boolean,,
UoF_Individual_Records,OfficerResponses_DeescalationTechniques_Time,Officer Response - Use De-escalation Techniques - Time,Specifies time as a de-escalation technique(s) the reporting officer attempted/used,"1 
Blank",Mandatory - Conditional,"At least one of 8 multi-select options is mandatory IF the report is for 1 Individual or more AND the officer attempted de-escalation techniques.
Blank = Not selected.
",Integer,,Boolean,,
UoF_Individual_Records,OfficerResponses_DeescalationTechniques_Other,Officer Response - Use De-escalation Techniques - Other,Specifies 'Other' method of de-escalation technique(s) the reporting officer attempted/used,"1 
Blank",Mandatory - Conditional,"At least one of 8 multi-select options is mandatory IF the report is for 1 Individual or more AND the officer attempted de-escalation techniques.
Blank = Not selected.
",Integer,,Boolean,Yes ,'Other' category includes instances where information was not provided for this question
UoF_Individual_Records,OfficerResponses_AssistControllingBehaviour,Officer Response - Assist Controlling Behaviour,Indicates whether the de-escalation techniques assisted in controlling the individual's behaviour,"Yes
No",Mandatory - Conditional,"Mandatory IF the report is for 1 Individual or more AND the officer attempted de-escalation techniques.
",Text,,Boolean,,
UoF_Individual_Records,OfficerResponses_Reason_ImminentThreat,Officer Response - Reason - Imminent Threat,Specifies if imminent threat was the reason the reporting officer did not attempt use any de-escalation techniques with the individual(s),"1 
Blank",Mandatory - Conditional,"At least one of 4 multi-select options is mandatory IF the report is for 1 Individual or more AND the officer did not attempt any de-escalation techniques.
Blank = Not selected.
",Integer,,Boolean,,
UoF_Individual_Records,OfficerResponses_Reason_ActionRequiredImmediately,Officer Response - Reason - Action Required Immediately,Specifies if action was required immediately as the reason the reporting officer did not attempt/use any de-escalation techniques with the individual(s),"1 
Blank",Mandatory - Conditional,"At least one of 4 multi-select options is mandatory IF the report is for 1 Individual or more AND the officer did not attempt any de-escalation techniques.
Blank = Not selected.
",Integer,,Boolean,,
UoF_Individual_Records,OfficerResponses_Reason_DeescalationUsedOtherOfficers,Officer Response - Reason - Use De-escalation Used/Attempted by Other Officers,Specifies if de-escalation used/attempted by other officers present as the reason the reporting officer did not attempt/use any de-escalation techniques with the individual(s),"1 
Blank",Mandatory - Conditional,"At least one of 4 multi-select options is mandatory IF the report is for 1 Individual or more AND the officer did not attempt any de-escalation techniques.
Blank = Not selected.
",Integer,,Boolean,,
UoF_Individual_Records,OfficerResponses_Reason_Other,Officer Response - Reason - Other,"Specifies if ""Other' reason why the reporting officer did not attempt/use any de-escalation techniques with the individual(s)","1 
Blank",Mandatory - Conditional,"At least one of 4 multi-select options is mandatory IF the report is for 1 Individual or more AND the officer did not attempt any de-escalation techniques.
Blank = Not selected.
",Integer,,Boolean,Yes ,'Other' category includes instances where information was not provided for this question
UoF_Individual_Records,TypeForceUsed_PhysicalControl_Check,Type Force Used - Physical Control,Specifies if physical control was used by the reporting officer,"1 
Blank",Mandatory - Conditional,"At least one of 4 multi-select options is mandatory IF the report is for 1 Individual or more.
Blank = Not selected.",Integer,,Boolean,,
UoF_Individual_Records,TypeForceUsed_PhysicalControl_EscortTechniques,Type Force Used - Physical Control - Escort Techniques,Specifies if escort techniques were the types of physical control used by the reporting officer,"1 
Blank",Mandatory - Conditional,"At least one of 7 multi-select options is mandatory IF the report is for 1 Individual or more AND the type of force used is ""Physical Control'.
Blank = Not selected.
",Integer,,Boolean,,
UoF_Individual_Records,TypeForceUsed_PhysicalControl_Grounding,Type Force Used - Physical Control - Grounding,Specifies if grounding was the type of physical control used by the reporting officer,"1 
Blank",Mandatory - Conditional,"At least one of 7 multi-select options is mandatory IF the report is for 1 Individual or more AND the type of force used is ""Physical Control'
Blank = Not selected
",Integer,,Boolean,,
UoF_Individual_Records,TypeForceUsed_PhysicalControl_JointLocks,Type Force Used - Physical Control - Joint Locks,Specifies if joint locks were the type of physical control used by the reporting officer,"1 
Blank",Mandatory - Conditional,"At least one of 7 multi-select options is mandatory IF the report is for 1 Individual or more AND the type of force used is ""Physical Control'.
Blank = Not selected.
",Integer,,Boolean,,
UoF_Individual_Records,TypeForceUsed_PhysicalControl_Pinning,Type Force Used - Physical Control - Pinning,Specifies if pinning was the type of physical control used by the reporting officer,"1 
Blank",Mandatory - Conditional,"At least one of 7 multi-select options is mandatory IF the report is for 1 Individual or more AND the type of force used is ""Physical Control'
Blank = Not selected
",Integer,,Boolean,,
UoF_Individual_Records,TypeForceUsed_PhysicalControl_PressurePoints,Type Force Used - Physical Control - Pressure Points,Specifies if pressure points were the type of physical control used by the reporting officer,"1 
Blank",Mandatory - Conditional,"At least one of 7 multi-select options is mandatory IF the report is for 1 Individual or more AND the type of force used is ""Physical Control'.
Blank = Not selected.
",Integer,,Boolean,,
UoF_Individual_Records,TypeForceUsed_PhysicalControl_Strikes,Type Force Used - Physical Control - Strikes,Specifies if strikes were the type of physical control used by the reporting officer,"1 
Blank",Mandatory - Conditional,"At least one of 7 multi-select options is mandatory IF the report is for 1 Individual or more AND the type of force used is ""Physical Control'
Blank = Not selected
",Integer,,Boolean,,
UoF_Individual_Records,TypeForceUsed_PhysicalControl_Other,Type Force Used - Physical Control - Other,Specifies if any other physical controls were the type of physical control used by the reporting officer,"1 
Blank",Mandatory - Conditional,"At least one of 7 multi-select options is mandatory IF the report is for 1 Individual or more AND the type of force used is ""Physical Control'.
Blank = Not selected.
",Integer,,Boolean,,
UoF_Individual_Records,TypeForceUsed_PhysicalControl_AssistControllingBehaviour,Type Force Used - Physical Control - Assist Controlling Behaviour,Specifies whether the use of physical control assisted in controlling the individual's behaviour,"Yes
No",Mandatory - Conditional,"At least one of 7 multi-select options is mandatory IF the report is for 1 Individual or more AND the type of force used is ""Physical Control'.
",Text,,Boolean,,
UoF_Individual_Records,TypeForceUsed_IntermediateWeapon_Check,Type Force Used - Intermediate Weapon,Specifies if an intermediate weapon was used by the reporting officer,"1 
Blank",Mandatory - Conditional,"At least one of 4 multi-select options is mandatory IF the report is for 1 Individual or more.
Blank = Not selected.",Integer,,Boolean,Yes ,"Where data was missing, it was supplemented with information from the occurrence narrative, where available"
UoF_Individual_Records,TypeForceUsed_IntermediateWeapon_OC_Check,Type Force Used - Intermediate Weapon -OC,Specifies if OC was used as an intermediate weapon by the reporting officer,"1 
Blank",Mandatory - Conditional,"At least one of 3 multi-select options is mandatory IF the report is for 1 Individual or more AND the type of force used is ""Intermediate Weapon"".
Blank = Not selected.
",Integer,,Boolean,,
UoF_Individual_Records,TypeForceUsed_IntermediateWeapon_OC_AssistControllingBehaviour,Type Force Used - Intermediate Weapon -OC - Assist Controlling Behaviour,Specifies whether the use of OC assisted in controlling the individual's behaviour,"Yes
No",Mandatory - Conditional,"Mandatory IF the report is for 1 Individual or more AND the type of force used is ""Intermediate Weapon' AND the weapon used is ""OC (pepper spray)"".",Text,,Boolean,,
UoF_Individual_Records,TypeForceUsed_IntermediateWeapon_Baton_Check,Type Force Used - Intermediate Weapon - Baton,Specifies if an intermediate weapon such as baton was used by the reporting officer,"1 
Blank",Mandatory - Conditional,"At least one of 3 multi-select options is mandatory IF the report is for 1 Individual or more AND the type of force used is ""Intermediate Weapon'.
Blank = Not selected.
",Integer,,Boolean,,
UoF_Individual_Records,TypeForceUsed_IntermediateWeapon_Baton_Hard,Type Force Used - Intermediate Weapon - Baton - Hard,Specifies if an intermediate weapon such as hard baton was used by the reporting officer,"1 
Blank",Mandatory - Conditional,"At least one of 2 multi-select options is mandatory IF the report is for 1 Individual or more AND the type of force used is ""Intermediate Weapon' AND the weapon used is ""Baton"".
Blank = Not selected.
",Integer,,Boolean,,
UoF_Individual_Records,TypeForceUsed_IntermediateWeapon_baton_Soft,Type Force Used - Intermediate Weapon - Baton - Soft,Specifies if an intermediate weapon such as soft baton was used by the reporting officer,"1 
Blank",Mandatory - Conditional,"At least one of 2 multi-select options is mandatory IF the report is for 1 Individual or more AND the type of force used is ""Intermediate Weapon' AND the weapon used is ""Baton"".
",Integer,,Boolean,,
UoF_Individual_Records,TypeForceUsed_IntermediateWeapon_Baton_AssistControllingBehaviour,Type Force Used - Intermediate Weapon - Assist Controlling Behaviour,Specifies whether the use of the baton assisted in controlling the individual's behaviour,"Yes
No",Mandatory - Conditional,"Mandatory IF the report is for 1 Individual or more AND the type of force used is ""Intermediate Weapon' AND the weapon used is ""Baton"".",Text,,Boolean,,
UoF_Individual_Records,TypeForceUsed_IntermediateWeapon_ConductedEnergyWeapon_Check,Type Force Used - Intermediate Weapon - Conducted Energy Weapon,Specifies if a conducted energy weapon was used by the reporting officer,"1 
Blank",Mandatory - Conditional,"At least one of 3 multi-select options is mandatory IF the report is for 1 Individual or more AND the type of force used is ""Intermediate Weapon'.
Blank = Not selected.

",Integer,,Boolean,Yes ,"Where data was missing, it was supplemented with information from the occurrence narrative, where available"
UoF_Individual_Records,TypeForceUsed_IntermediateWeapon_ConductedEnergyWeapon_AssistControllingBehaviour,Type Force Used - Intermediate Weapon - Conducted Energy Weapon - Assist Controlling Behaviour,Specifies if use of the conducted energy weapon assisted in controlling the individual's behaviour,"Yes
No",Mandatory - Conditional,"Mandatory IF the report is for 1 Individual or more AND the type of force used is ""Intermediate Weapon' AND the weapon used is ""Conducted Energy Weapon (CEW)"".",Text,,Boolean,Yes ,"Where data was missing, it was supplemented with information from the occurrence narrative, where available"
UoF_Individual_Records,TypeForceUsed_IntermediateWeapon_ConductedEnergyWeapon_WhyNot_CartridgeMalfunction,Type Force Used - Intermediate Weapon - Conducted Energy Weapon - Why Not - Cartridge Malfunction ,Specifies cartridge malfunction as the reason the conducted energy weapon used in Cartridge/Probe deployment mode did not assist in controlling the individual's behaviour,"1 
Blank",Mandatory - Conditional,"At least one of 7 multi-select options is mandatory IF the report is for 1 Individual or more AND the type of force used is ""Intermediate Weapon' AND the weapon used is ""Conducted Energy Weapon (CEW)"" AND Weapon was Discharged AND Weapon did not assist in controlling behaviour AND deployment mode was ""Cartridge/Probe"".
Blank = Not selected.",Integer,,Boolean,,
UoF_Individual_Records,TypeForceUsed_IntermediateWeapon_ConductedEnergyWeapon_WhyNot_Disconnect,Type Force Used - Intermediate Weapon - Conducted Energy Weapon - Why Not - Disconnect,Specifies disconnect as the reason the conducted energy weapon used in Cartridge/Probe deployment mode did not assist in controlling the individual's behaviour,"1 
Blank",Mandatory - Conditional,"At least one of 7 multi-select options is mandatory IF the report is for 1 Individual or more AND the type of force used is ""Intermediate Weapon' AND the weapon used is ""Conducted Energy Weapon (CEW)"" AND Weapon was Discharged AND Weapon did not assist in controlling behaviour AND deployment mode was ""Cartridge/Probe"".
Blank = Not selected.",Integer,,Boolean,,
UoF_Individual_Records,TypeForceUsed_IntermediateWeapon_ConductedEnergyWeapon_WhyNot_InsufficientProbeSpread,Type Force Used - Intermediate Weapon - Conducted Energy Weapon - Why Not - Insufficient Probe Spread,Specifies insufficient probe spread as the reason the conducted energy weapon used in Cartridge/Probe deployment mode did not assist in controlling the individual's behaviour,"1 
Blank",Mandatory - Conditional,"At least one of 7 multi-select options is mandatory IF the report is for 1 Individual or more AND the type of force used is ""Intermediate Weapon' AND the weapon used is ""Conducted Energy Weapon (CEW)"" AND Weapon was Discharged AND Weapon did not assist in controlling behaviour AND deployment mode was ""Cartridge/Probe"".
Blank = Not selected.",Integer,,Boolean,,
UoF_Individual_Records,TypeForceUsed_IntermediateWeapon_ConductedEnergyWeapon_WhyNot_OperatorError,Type Force Used - Intermediate Weapon - Conducted Energy Weapon - Why Not - Operator Error,Specifies operator error as the reason the conducted energy weapon used in Cartridge/Probe deployment mode did not assist in controlling the individual's behaviour,"1 
Blank",Mandatory - Conditional,"At least one of 7 multi-select options is mandatory IF the report is for 1 Individual or more AND the type of force used is ""Intermediate Weapon' AND the weapon used is ""Conducted Energy Weapon (CEW)"" AND Weapon was Discharged AND Weapon did not assist in controlling behaviour AND deployment mode was ""Cartridge/Probe"".
Blank = Not selected.",Integer,,Boolean,,
UoF_Individual_Records,TypeForceUsed_IntermediateWeapon_ConductedEnergyWeapon_WhyNot_ProbeMiss,Type Force Used - Intermediate Weapon - Conducted Energy Weapon - Why Not - Probe Miss,Specifies probe miss as the reason the conducted energy weapon used in Cartridge/Probe deployment mode did not assist in controlling the individual's behaviour,"1 
Blank",Mandatory - Conditional,"At least one of 7 multi-select options is mandatory IF the report is for 1 Individual or more AND the type of force used is ""Intermediate Weapon' AND the weapon used is ""Conducted Energy Weapon (CEW)"" AND Weapon was Discharged AND Weapon did not assist in controlling behaviour AND deployment mode was ""Cartridge/Probe"".
Blank = Not selected.",Integer,,Boolean,,
UoF_Individual_Records,TypeForceUsed_IntermediateWeapon_ConductedEnergyWeapon_WhyNot_WeaponMalfunction,Type Force Used - Intermediate Weapon - Conducted Energy Weapon - Why Not - Weapon Malfunction,Specifies weapon malfunction as the reason the conducted energy weapon used in Cartridge/Probe deployment mode did not assist in controlling the individual's behaviour,"1 
Blank",Mandatory - Conditional,"At least one of 7 multi-select options is mandatory IF the report is for 1 Individual or more AND the type of force used is ""Intermediate Weapon' AND the weapon used is ""Conducted Energy Weapon (CEW)"" AND Weapon was Discharged AND Weapon did not assist in controlling behaviour AND deployment mode was ""Cartridge/Probe"".
Blank = Not selected.",Integer,,Boolean,,
UoF_Individual_Records,TypeForceUsed_IntermediateWeapon_ConductedEnergyWeapon_WhyNot_Other,Type Force Used - Intermediate Weapon - Conducted Energy Weapon - Why Not - Other,Specifies other reasons the conducted energy weapon used in Cartridge/Probe deployment mode did not assist in controlling the individual's behaviour,"1 
Blank",Mandatory - Conditional,"At least one of 7 multi-select options is mandatory IF the report is for 1 Individual or more AND the type of force used is ""Intermediate Weapon' AND the weapon used is ""Conducted Energy Weapon (CEW)"" AND Weapon was Discharged AND Weapon did not assist in controlling behaviour AND deployment mode was ""Cartridge/Probe"".
Blank = Not selected.",Integer,,Boolean,Yes,'Other' category includes instances where information was not provided for this question
UoF_Individual_Records,TypeForceUsed_IntermediateWeapon_ConductedEnergyWeapon_Drawn,Type Force Used - Intermediate Weapon - Conducted Energy Weapon - Drawn,Specifies if the conducted energy weapon was drawn and displayed by the reporting officer with the intention of achieving compliance,"1 
Blank",Mandatory - Conditional,"At least one of 3 multi-select options is mandatory IF the report is for 1 Individual or more AND the type of force used is ""Intermediate Weapon' AND the weapon used is ""Conducted Energy Weapon (CEW).
Blank = Not selected.",Integer,,Boolean,Yes,"Where data was missing, it was supplemented with information from the occurrence narrative, where available"
UoF_Individual_Records,TypeForceUsed_IntermediateWeapon_ConductedEnergyWeapon_Pointed,Type Force Used - Intermediate Weapon - Conducted Energy Weapon - Pointed,Specifies if the conducted energy weapon was pointed by the reporting officer,"1 
Blank",Mandatory - Conditional,"At least one of 3 multi-select options is mandatory IF the report is for 1 Individual or more AND the type of force used is ""Intermediate Weapon' AND the weapon used is ""Conducted Energy Weapon (CEW).
Blank = Not selected.",Integer,,Boolean,Yes,"Where data was missing, it was supplemented with information from the occurrence narrative, where available"
UoF_Individual_Records,TypeForceUsed_IntermediateWeapon_ConductedEnergyWeapon_Discharged,Type Force Used - Intermediate Weapon - Conducted Energy Weapon - Discharged,Specifies if the conducted energy weapon was discharged by the reporting officer,"1 
Blank",Mandatory - Conditional,"At least one of 3 multi-select options is mandatory IF the report is for 1 Individual or more AND the type of force used is ""Intermediate Weapon' AND the weapon used is ""Conducted Energy Weapon (CEW).
Blank = Not selected.",Integer,,Boolean,Yes,"Where data was missing, it was supplemented with information from the occurrence narrative, where available"
UoF_Individual_Records,TypeForceUsed_IntermediateWeapon_ConductedEnergyWeapon_DeloymentMode_Cartridge,Type Force Used - Intermediate Weapon - Conducted Energy Weapon - Deployment Mode - Cartridge,Specifies cartridge/probe as the deployment mode of the conducted energy weapon,"1 
Blank",Mandatory - Conditional,"At least one of 3 multi-select options is mandatory IF the report is for 1 Individual or more AND the type of force used is ""Intermediate Weapon' AND the weapon used is ""Conducted Energy Weapon (CEW).
Blank = Not selected.",Integer,,Boolean,,
UoF_Individual_Records,TypeForceUsed_IntermediateWeapon_ConductedEnergyWeapon_DeloymentMode_DrivePushStun,Type Force Used - Intermediate Weapon - Conducted Energy Weapon - Deployment Mode - Drive Push Stun,Specifies drive/push stun as the deployment mode of the conducted energy weapon,"1 
Blank",Mandatory - Conditional,"At least one of 3 multi-select options is mandatory IF the report is for 1 Individual or more AND the type of force used is ""Intermediate Weapon' AND the weapon used is ""Conducted Energy Weapon (CEW)"" AND Weapon was Discharged.
Blank = Not selected.",Integer,,Boolean,,
UoF_Individual_Records,TypeForceUsed_IntermediateWeapon_ConductedEnergyWeapon_DeloymentMode_ThreePointContact,Type Force Used - Intermediate Weapon - Conducted Energy Weapon - 3 Point Contact,Specifies three point contact as the deployment mode of the conducted energy weapon,"1 
Blank",Mandatory - Conditional,"At least one of 3 multi-select options is mandatory IF the report is for 1 Individual or more AND the type of force used is ""Intermediate Weapon' AND the weapon used is ""Conducted Energy Weapon (CEW)"" AND Weapon was Discharged.
Blank = Not selected.",Integer,,Boolean,,
UoF_Individual_Records,TypeForceUsed_IntermediateWeapon_ConductedEnergyWeapon_DrivePushStunCycles,Type Force Used - Intermediate Weapon - Conducted Energy Weapon - Drive Push Stun Cycles Details,Specifies the number of cycles used in drive/push stun mode for the conducted energy weapon,"Single Cycle (5 seconds) 
Extended Cycle (more than 5 seconds) 
Multiple Cycles",Mandatory - Conditional,"At least one of 3 multi-select options is mandatory IF the report is for 1 Individual or more AND the type of force used is ""Intermediate Weapon' AND the weapon used is ""Conducted Energy Weapon (CEW)"" AND Weapon was Discharged.
Blank = Not selected.",Text,,Nominal,,
UoF_Individual_Records,TypeForceUsed_IntermediateWeapon_ConductedEnergyWeapon_ThreePointContactCycles,Type Force Used - Intermediate Weapon - Conducted Energy Weapon - Three Point Contact Cycles Details,Specifies the number of cycles used in 3 point contact  mode for the conducted energy weapon,"Single Cycle (5 seconds) 
Extended Cycle (more than 5 seconds) 
Multiple Cycles",Mandatory - Conditional,"At least one of 3 single-select options is mandatory IF the report is for 1 Individual or more AND the type of force used is ""Intermediate Weapon' AND the weapon used is ""Conducted Energy Weapon (CEW)"" AND Weapon was Discharged AND deployment mode was ""3 Point Contact"".",Text,,Nominal,,
UoF_Individual_Records,TypeForceUsed_LessLethalFirearm_Check,Type Force Used - Less Lethal Firearm,Specifies if a less lethal firearm was used by the reporting officer,"1 
Blank",Mandatory - Conditional,"At least one of 4 multi-select options is mandatory IF the report is for 1 Individual or more.
Blank = Not selected.",Integer,,Boolean,,
UoF_Individual_Records,TypeForceUsed_LessLethalFirearm_Shotgun_Check,Type Force Used - Less Lethal Firearm - Shotgun,Specifies if a shotgun deployed with less lethal projectiles was used by the reporting officer,"1 
Blank",Mandatory - Conditional,"At least one of 2 multi-select options is mandatory IF the report is for 1 Individual or more AND the type of force used is a ""Less Lethal Firearm"".
Blank = Not selected.
",Integer,,Boolean,,
